timestamp,cpu_percent,memory_percent
2026-02-23 15:20:53,8.1,54.3
2026-02-23 15:20:54,7.4,54.3
2026-02-23 15:20:55,10.6,54.4
2026-02-23 15:20:56,14.0,54.3
2026-02-23 15:20:57,8.4,54.4
2026-02-23 15:20:58,18.2,54.5
2026-02-23 15:20:59,8.7,54.6
2026-02-23 15:21:00,25.0,55.1
2026-02-23 15:21:01,12.4,55.1
2026-02-23 15:21:02,8.6,55.1
2026-02-23 15:21:03,10.7,55.3
2026-02-23 15:21:04,10.7,55.3
2026-02-23 15:21:05,14.6,55.3
2026-02-23 15:21:06,11.8,55.3
2026-02-23 15:21:07,12.3,55.1
2026-02-23 15:21:08,8.0,55.2
2026-02-23 15:21:09,7.2,55.1
2026-02-23 15:21:10,24.3,54.9
2026-02-23 15:21:11,18.6,54.9
2026-02-23 15:21:12,26.6,55.0
2026-02-23 15:21:13,6.8,55.0
2026-02-23 15:21:14,8.3,55.0
2026-02-23 15:21:15,9.8,54.8
2026-02-23 15:21:16,8.6,54.8
2026-02-23 15:21:17,8.7,54.8
2026-02-23 15:21:18,7.2,54.7
2026-02-23 15:21:19,8.9,54.7
2026-02-23 15:21:20,10.0,54.4
2026-02-23 15:21:21,9.1,54.4
2026-02-23 15:21:22,11.1,54.3
2026-02-23 15:21:23,9.6,54.4
2026-02-23 15:21:24,8.5,54.3
2026-02-23 15:21:25,9.1,54.3
2026-02-23 15:21:26,8.8,54.3
2026-02-23 15:21:27,9.2,54.3
2026-02-23 15:21:28,7.3,54.4
2026-02-23 15:21:29,10.5,54.3
2026-02-23 15:21:30,9.9,54.3
2026-02-23 15:21:31,6.9,54.3
2026-02-23 15:21:32,7.3,54.3
2026-02-23 15:21:33,9.5,54.5
2026-02-23 15:21:34,10.8,54.3
2026-02-23 15:21:35,8.7,54.4
2026-02-23 15:21:36,8.2,54.4
2026-02-23 15:21:37,13.7,54.4
2026-02-23 15:21:38,10.1,54.4
2026-02-23 15:21:39,8.2,54.4
2026-02-23 15:21:40,13.8,54.4
2026-02-23 15:21:41,13.1,54.6
2026-02-23 15:21:42,7.8,54.5
2026-02-23 15:21:43,8.6,54.5
2026-02-23 15:21:44,10.3,54.5
2026-02-23 15:21:45,9.3,54.5
2026-02-23 15:21:46,13.5,54.6
2026-02-23 15:21:47,9.1,54.5
2026-02-23 15:21:48,7.9,54.5
2026-02-23 15:21:49,7.5,54.3
2026-02-23 15:21:50,8.1,54.3
2026-02-23 15:21:51,7.1,54.3
2026-02-23 15:21:52,9.5,54.3
2026-02-23 15:21:53,8.7,54.3
2026-02-23 15:21:54,12.6,54.3
2026-02-23 15:21:55,8.5,54.3
2026-02-23 15:21:56,12.2,54.3
2026-02-23 15:21:57,14.5,54.3
2026-02-23 15:21:58,8.5,54.3
