timestamp,cpu_percent,memory_percent
2026-02-23 16:36:29,14.8,54.7
2026-02-23 16:36:30,12.7,54.7
2026-02-23 16:36:31,13.6,54.6
2026-02-23 16:36:32,12.7,54.7
2026-02-23 16:36:33,17.4,54.7
2026-02-23 16:36:34,25.0,54.5
2026-02-23 16:36:35,17.8,54.6
2026-02-23 16:36:36,19.4,54.7
2026-02-23 16:36:37,34.4,55.1
2026-02-23 16:36:38,15.7,55.1
2026-02-23 16:36:39,19.6,55.1
2026-02-23 16:36:40,18.6,55.3
2026-02-23 16:36:41,21.1,55.3
2026-02-23 16:36:42,14.8,55.2
2026-02-23 16:36:43,19.2,55.0
2026-02-23 16:36:44,13.7,55.0
2026-02-23 16:36:45,13.4,55.0
2026-02-23 16:36:46,15.9,54.8
2026-02-23 16:36:47,14.4,54.8
2026-02-23 16:36:48,20.3,54.9
2026-02-23 16:36:49,15.7,54.9
2026-02-23 16:36:50,15.6,55.0
2026-02-23 16:36:51,15.2,54.6
2026-02-23 16:36:52,12.8,54.6
2026-02-23 16:36:53,12.7,54.6
2026-02-23 16:36:54,17.6,54.5
2026-02-23 16:36:55,19.0,54.4
2026-02-23 16:36:56,22.4,54.5
2026-02-23 16:36:57,21.2,54.5
2026-02-23 16:36:58,12.6,54.5
2026-02-23 16:36:59,17.6,54.6
2026-02-23 16:37:00,18.9,54.6
2026-02-23 16:37:01,18.4,54.8
2026-02-23 16:37:02,16.6,54.8
2026-02-23 16:37:03,18.2,54.7
2026-02-23 16:37:04,19.1,54.6
2026-02-23 16:37:05,20.6,54.6
2026-02-23 16:37:06,13.6,54.6
2026-02-23 16:37:07,16.2,54.6
2026-02-23 16:37:08,11.8,54.6
2026-02-23 16:37:09,21.0,54.4
2026-02-23 16:37:10,14.6,54.4
2026-02-23 16:37:11,18.2,54.4
2026-02-23 16:37:12,12.2,54.5
2026-02-23 16:37:14,15.2,54.4
2026-02-23 16:37:15,14.3,54.4
2026-02-23 16:37:16,13.7,54.6
2026-02-23 16:37:17,16.5,54.4
2026-02-23 16:37:18,14.8,54.4
2026-02-23 16:37:19,18.0,54.4
2026-02-23 16:37:20,15.9,54.4
2026-02-23 16:37:21,17.9,54.4
2026-02-23 16:37:22,21.6,54.4
2026-02-23 16:37:23,19.8,54.4
2026-02-23 16:37:24,22.7,54.4
2026-02-23 16:37:25,15.4,54.4
2026-02-23 16:37:26,16.0,54.4
2026-02-23 16:37:27,14.6,54.4
2026-02-23 16:37:28,16.8,54.4
2026-02-23 16:37:29,16.7,54.4
2026-02-23 16:37:30,20.5,54.4
2026-02-23 16:37:31,22.2,54.4
2026-02-23 16:37:32,24.7,54.6
2026-02-23 16:37:33,31.2,54.6
2026-02-23 16:37:34,21.0,54.5
2026-02-23 16:37:35,17.7,54.7
2026-02-23 16:37:36,24.2,54.7
2026-02-23 16:37:37,18.7,54.7
2026-02-23 16:37:38,17.3,54.8
2026-02-23 16:37:39,15.1,54.8
2026-02-23 16:37:40,20.8,54.8
2026-02-23 16:37:41,16.1,54.8
2026-02-23 16:37:42,19.3,54.8
2026-02-23 16:37:43,17.7,54.9
2026-02-23 16:37:44,15.9,54.8
2026-02-23 16:37:45,24.3,54.7
2026-02-23 16:37:46,30.4,54.7
2026-02-23 16:37:47,21.9,54.7
2026-02-23 16:37:48,24.4,54.6
2026-02-23 16:37:49,20.5,54.7
2026-02-23 16:37:50,17.2,54.7
2026-02-23 16:37:51,13.3,54.6
2026-02-23 16:37:52,15.8,54.7
2026-02-23 16:37:53,17.9,54.7
2026-02-23 16:37:54,16.9,54.7
2026-02-23 16:37:55,13.8,54.5
2026-02-23 16:37:56,15.9,54.5
2026-02-23 16:37:57,13.2,54.5
2026-02-23 16:37:58,15.4,54.5
2026-02-23 16:37:59,13.7,54.5
2026-02-23 16:38:00,20.3,54.5
2026-02-23 16:38:01,17.6,54.5
2026-02-23 16:38:02,24.7,54.7
2026-02-23 16:38:03,19.2,54.7
2026-02-23 16:38:04,16.7,54.7
2026-02-23 16:38:05,13.7,54.7
2026-02-23 16:38:06,19.1,54.8
2026-02-23 16:38:07,16.9,54.7
2026-02-23 16:38:08,18.0,54.7
2026-02-23 16:38:09,10.5,54.7
2026-02-23 16:38:10,11.5,54.7
2026-02-23 16:38:11,8.4,54.5
2026-02-23 16:38:12,9.7,54.5
2026-02-23 16:38:13,8.0,54.5
2026-02-23 16:38:14,11.7,54.6
2026-02-23 16:38:15,12.6,54.5
2026-02-23 16:38:16,7.4,54.4
2026-02-23 16:38:17,8.5,54.4
2026-02-23 16:38:18,8.1,54.4
2026-02-23 16:38:19,6.7,54.5
2026-02-23 16:38:20,14.3,54.4
2026-02-23 16:38:21,9.7,54.4
2026-02-23 16:38:22,10.0,54.4
2026-02-23 16:38:23,19.7,54.4
2026-02-23 16:38:24,12.3,54.4
2026-02-23 16:38:25,14.5,54.4
2026-02-23 16:38:26,9.5,54.4
2026-02-23 16:38:27,8.2,54.4
2026-02-23 16:38:28,12.8,54.4
2026-02-23 16:38:29,13.1,54.6
2026-02-23 16:38:30,21.8,54.4
2026-02-23 16:38:31,15.5,54.4
2026-02-23 16:38:32,20.5,54.6
2026-02-23 16:38:33,20.0,54.6
2026-02-23 16:38:34,16.6,54.6
2026-02-23 16:38:35,16.9,54.6
2026-02-23 16:38:36,17.2,54.7
2026-02-23 16:38:37,26.0,54.6
2026-02-23 16:38:38,24.3,54.4
2026-02-23 16:38:39,28.5,54.0
2026-02-23 16:38:40,20.0,54.0
2026-02-23 16:38:41,17.6,54.0
2026-02-23 16:38:42,21.9,54.0
2026-02-23 16:38:43,21.7,53.9
2026-02-23 16:38:44,18.7,54.0
2026-02-23 16:38:45,17.6,54.1
2026-02-23 16:38:46,18.2,54.2
2026-02-23 16:38:47,16.5,54.3
2026-02-23 16:38:48,17.6,54.4
2026-02-23 16:38:49,17.1,54.2
2026-02-23 16:38:50,18.4,54.3
2026-02-23 16:38:51,16.6,54.3
2026-02-23 16:38:52,18.3,54.3
2026-02-23 16:38:53,15.8,54.2
2026-02-23 16:38:54,17.8,54.3
2026-02-23 16:38:55,19.3,54.3
2026-02-23 16:38:56,21.1,53.8
2026-02-23 16:38:57,19.1,53.9
2026-02-23 16:38:58,40.8,54.4
2026-02-23 16:38:59,18.2,54.4
2026-02-23 16:39:00,18.1,54.4
2026-02-23 16:39:01,22.4,54.4
2026-02-23 16:39:02,22.6,54.5
2026-02-23 16:39:03,23.4,54.6
2026-02-23 16:39:04,21.6,54.6
2026-02-23 16:39:05,22.7,54.4
2026-02-23 16:39:06,23.2,54.5
2026-02-23 16:39:07,26.6,54.5
2026-02-23 16:39:08,24.1,54.3
2026-02-23 16:39:09,19.2,54.3
2026-02-23 16:39:10,22.6,54.3
2026-02-23 16:39:11,20.8,54.4
2026-02-23 16:39:12,20.2,54.4
2026-02-23 16:39:13,21.6,54.3
2026-02-23 16:39:14,25.0,54.1
2026-02-23 16:39:15,19.3,54.1
2026-02-23 16:39:16,25.0,54.2
2026-02-23 16:39:17,21.7,54.1
2026-02-23 16:39:18,22.4,54.1
2026-02-23 16:39:19,15.4,54.0
2026-02-23 16:39:20,16.8,54.1
2026-02-23 16:39:21,14.5,54.0
2026-02-23 16:39:22,15.5,54.1
2026-02-23 16:39:23,19.8,54.0
2026-02-23 16:39:24,21.1,54.0
2026-02-23 16:39:25,14.8,53.9
2026-02-23 16:39:26,18.4,53.8
2026-02-23 16:39:27,16.0,53.8
2026-02-23 16:39:28,13.4,53.8
2026-02-23 16:39:29,8.8,53.8
2026-02-23 16:39:30,10.0,53.8
2026-02-23 16:39:31,9.0,53.8
2026-02-23 16:39:32,11.1,53.8
